"codigo","codigoPai","descricao","nivel","ehFolha"
"103031300","103031","Serviços de quarto ou de unidades de hospedagem para visitantes, em propriedades partilhadas",4,true
"103031400","103031","Serviços de quarto ou de unidades de hospedagem para visitantes, em quartos de múltipla ocupação",4,true
"103032000","10303","Serviços de acampamentos turísticos (camping)",3,true
"103039000","10303","Outros serviços de hospedagem para visitantes",3,true
"10304","103","Outros serviços de hospedagem",2,false
"103041000","10304","Serviços de quarto ou de unidades de hospedagem para estudantes em residências estudantis",3,true
"103042000","10304","Serviços de quarto ou de unidades de hospedagem para trabalhadores em hotéis ou campos",3,true
"103049000","10304","Outros serviços de quarto ou de unidades de hospedagem",3,true
"10401","104","Serviços de transporte de passageiros em áreas urbanas ou rurais, inclusive nas áreas metropolitanas ",2,false
"104011","10401","Serviços de transporte terrestre de passageiros em áreas urbanas ou rurais, inclusive nas áreas metropolitanas",3,false
"1040111","104011","Serviços de transporte rodoviário urbano de passageiros, exceto em áreas metropolitanas ",4,false
"104011110","1040111","Serviços prestados única e exclusivamente por meio de ônibus",5,true
"104011190","1040111","Serviços prestados por meio de outros veículos rodoviários",5,true
"104011200","104011","Serviços de transporte rodoviário de passageiros nas áreas metropolitanas ",4,true
"104011300","104011","Serviços de transporte ferroviário urbano ou rural, inclusive nas áreas metropolitanas, de passageiros",4,true
"104011400","104011","Serviços de transporte metroviário (metrô) de passageiros ",4,true
"104011500","104011","Serviços de transporte integrado urbano ou rural, inclusive nas áreas metropolitanas, de passageiros",4,true
"104011600","104011","Serviços de taxi",4,true
"104011700","104011","Serviço de aluguel de carros com motorista",4,true
"1040119","104011","Outros serviços terrestres de transporte de passageiros ",4,false
"104011910","1040119","Serviços de transporte escolar",5,true
"104011990","1040119","Outros serviços terrestres de transporte de passageiros ",5,true
"104012","10401","Serviços de transporte aquaviário de passageiros",3,false
"104012100","104012","Serviços de transporte por navegação interior de passageiros por embarcações para travessia ",4,true
"104012200","104012","Serviços de transporte por navegação interior de passageiros por embarcações para cruzeiros",4,true
"104012900","104012","Outros serviços de transporte por navegação interior de passageiros",4,true
"104019000","10401","Outros serviços de transporte de passageiros em áreas urbanas ou rurais, inclusive metropolitanas",3,true
"10402","104","Serviços de transporte para passeios turísticos (sightseeing), serviços de fretamento, exceto aéreo",2,false
"104021","10402","Serviços de transporte para passeios turísticos (sightseeing)",3,false
"104021100","104021","Serviços de transporte rodoviário para passeios turísticos (sightseeing)",4,true
"104021200","104021","Serviços de transporte ferroviário para passeios turísticos (sightseeing)",4,true
"104021300","104021","Serviços de transporte aquaviário para passeios turísticos (sightseeing)",4,true
"104021400","104021","Serviços de transporte aéreo para passeios turísticos (sightseeing)",4,true
"104021900","104021","Outros serviços transporte para passeios turísticos (sightseeing)",4,true
"104022","10402","Serviços de fretamento, exceto aéreo",3,false
"104022100","104022","Serviços de fretamento contínuo",4,true
"104022200","104022","Serviços de fretamento eventual ou turístico",4,true
"104022900","104022","Outros serviços de fretamento, exceto aéreo",4,true
"10403","104","Serviços de transporte interestadual, inclusive interestadual semiurbano, e internacional, de passageiros, exceto os serviços de transporte aéreo",2,false
"104031","10403","Serviços de transporte terrestre interestadual, inclusive interestadual semiurbano, e internacional de passageiros ",3,false
"1040311","104031","Serviços de transporte rodoviário interestadual, inclusive interestadual semiurbano, de passageiros",4,false
"104031110","1040311","Serviços prestados única e exclusivamente por meio de ônibus",5,true
"104031190","1040311","Serviços prestados por meio de outros veículos rodoviários",5,true
"104031200","104031","Serviços de transporte ferroviário interestadual, inclusive interestadual semiurbano, de passageiros",4,true
"104031900","104031","Outros serviços terrestres de transporte interestadual, inclusive interestadual semiurbano, não classificados em outra posição, e de transporte internacional de passageiros",4,true
"104032","10403","Serviços de transporte aquaviário interestadual, inclusive interestadual semiurbano, e internacional de passageiros",3,false
"104032100","104032","Serviços de transporte interestadual, inclusive interestadual semiurbano, por navegação interior, de passageiros por embarcações para travessia ",4,true
"104032200","104032","Serviços de transporte interestadual, inclusive interestadual semiurbano, por navegação interior, de passageiros por embarcações para cruzeiros",4,true
"104032300","104032","Serviços de transporte internacional de passageiros por embarcações para cruzeiros",4,true
"104032900","104032","Outros serviços de transporte aquaviário interestadual, inclusive interestadual semiurbano, de passageiros",4,true
"104039000","10403","Outros serviços de transporte interestadual, inclusive interestadual semiurbano, e internacional de passageiros, exceto os serviços de transporte aéreo",3,true
"10404","104","Serviços de transporte aéreo de passageiros, inclusive por fretamento",2,false
"104041","10404","Serviços de transporte aéreo, em linhas regulares",3,false
"104041100","104041","Serviços de transporte aéreo doméstico de passageiros ",4,true
"104041200","104041","Serviços de transporte aéreo internacional de passageiros ",4,true
"104042000","10404","Serviços de transporte aéreo por fretamento",3,true
"104049","10404","Outros serviços de transporte aéreo de passageiros",3,false
"104049100","104049","Serviços de táxi aéreo",4,true
"104049900","104049","Outros serviços de transporte aéreo de passageiros",4,true
"104900000","104","Outros serviços de transporte de passageiros",2,true
"10501","105","Serviços de transportes terrestres de cargas",2,false
"105011","10501","Serviços de transportes rodoviários de cargas",3,false
"1050111","105011","Serviços de transporte rodoviário de cargas a granel",4,false
"105011110","1050111","Serviços de transporte rodoviário de cargas sólidas a granel ",5,true
"105011120","1050111","Serviços de transporte rodoviário de cargas líquidas ou liquefeitas, a granel",5,true
"105011130","1050111","Serviços de transporte rodoviário de cargas gasosas a granel",5,true
"105011200","105011","Serviços de transporte rodoviário de cargas vivas",4,true
"1050113","105011","Serviços de transporte rodoviário de carga geral",4,false
"105011310","1050113","Serviços de transporte rodoviário de carga solta, não unitizada. ",5,true
"105011320","1050113","Serviços de transporte rodoviário de carga unitizada, exceto em contêineres",5,true
"1050114","105011","Serviços de transporte rodoviários de cargas em contêineres",4,false
"105011410","1050114","Serviços de transporte rodoviário de cargas em contêineres frigorificados ou climatizados",5,true
"105011490","1050114","Serviços de transporte rodoviário de cargas em outros tipos de contêineres",5,true
"105011500","105011","Serviços de transporte rodoviário de mudanças domésticas e de mobília e outros objetos de escritório ",4,true
"105011600","105011","Serviços de transporte rodoviário de cargas especiais e de grande porte ",4,true
"105011700","105011","Serviços de transporte rodoviário de veículos",4,true
"1050118","105011","Serviços de transporte rodoviário de produtos perigosos",4,false
"105011810","1050118","Serviços de transporte rodoviário de combustíveis, lubrificantes e glp, inclusive apresentado em botijões metálicos",5,true
"105011820","1050118","Serviços de transporte rodoviário de produtos químicos perigosos",5,true
"105011890","1050118","Serviços de transporte rodoviário de outros produtos perigosos",5,true
"105011900","105011","Serviços de transporte rodoviário de outros tipos de carga ",4,true
"105012","10501","Serviços de transporte ferroviário de cargas ",3,false
"1050121","105012","Serviços de transporte ferroviário de cargas a granel ",4,false
"105012110","1050121","Serviços de transporte ferroviário de cargas sólidas a granel ",5,true
"105012120","1050121","Serviços de transporte ferroviário de cargas líquidas ou liquefeitas, a granel",5,true
"105012130","1050121","Serviços de transporte ferroviário de cargas gasosas a granel",5,true
"105012200","105012","Serviços de transporte ferroviário de cargas vivas",4,true
"1050123","105012","Serviços de transporte ferroviário de carga geral",4,false
"105012310","1050123","Serviços de transporte ferroviário de carga solta, não unitizada  ",5,true
"105012320","1050123","Serviços de transporte ferroviário de carga unitizada, exceto em contêineres ",5,true
"105012330","1050123","Serviços de transporte ferroviário de bens e valores",5,true
"1050124","105012","Serviços de transporte ferroviário de cargas em contêineres",4,false
"105012410","1050124","Serviços de transporte ferroviário de cargas em contêineres frigorificados ou climatizados",5,true
"105012490","1050124","Serviços de transporte ferroviário de cargas em outros tipos de contêineres",5,true
"1050125","105012","Serviços de transporte ferroviário de produtos perigosos",4,false
"105012510","1050125","Serviços de transporte ferroviário de combustíveis, lubrificantes e glp, inclusive apresentado em botijões metálicos",5,true
"105012520","1050125","Serviços de transporte ferroviário de produtos químicos perigosos ",5,true
"105012530","1050125","Serviços de transporte ferroviário de armamentos militares e munições ",5,true
"105012540","1050125","Serviços de transporte ferroviário de fundidos em estado líquido",5,true
"105012550","1050125","Serviços de transporte ferroviário de material radioativo",5,true
"105012590","1050125","Serviços de transporte ferroviário de outros produtos perigosos",5,true
"105012900","105012","Serviços de transporte ferroviário de outros tipos de carga ",4,true
"105013","10501","Serviços de transporte por meio de dutos",3,false
"105013100","105013","Serviços de transporte de petróleo, gás natural e combustível",4,true
"105013200","105013","Serviços de transporte de minérios",4,true
"105013900","105013","Serviços de transporte de outras mercadorias",4,true
"10502","105","Serviços de transporte aquaviário de cargas",2,false
"105021","10502","Serviços de transportes aquaviário de navegação de cabotagem e de longo curso",3,false
"1050211","105021","Serviços de transporte aquaviário de navegação de cabotagem e de longo curso de cargas a granel",4,false
"105021110","1050211","Serviços de transporte aquaviário de navegação de cabotagem e de longo curso de cargas sólidas, a granel ",5,true
"105021120","1050211","Serviços de transporte aquaviário de navegação de cabotagem e de longo curso de cargas líquidas ou liquefeitas, a granel",5,true
"105021130","1050211","Serviços de transporte aquaviário de navegação de cabotagem e de longo curso de cargas gasosas a granel",5,true
"105021200","105021","Serviços de transporte aquaviário de navegação de cabotagem e de longo curso  de cargas vivas",4,true
"1050213","105021","Serviços de transporte aquaviário de navegação de cabotagem e de longo curso de carga geral",4,false
"105021310","1050213","Serviços de transporte aquaviário de navegação de cabotagem e de longo curso de carga solta, não unitizada",5,true
"105021320","1050213","Serviços de transporte aquaviário de navegação de cabotagem e de longo curso de carga unitizada, exceto em contêineres",5,true
"1050214","105021","Serviços de transporte aquaviário de navegação de cabotagem e de longo curso de cargas em contêineres",4,false
"105021410","1050214","Serviços de transporte aquaviário de navegação de cabotagem e de longo curso de cargas em contêineres frigorificados ou climatizados",5,true
"105021490","1050214","Serviços de transporte aquaviário de navegação de cabotagem e de longo curso de cargas em outros tipos de contêineres",5,true
"105021500","105021","Serviços de transporte aquaviário de navegação de cabotagem e de longo curso de mudanças domésticas e de mobília e outros objetos de escritório",4,true
"105021600","105021","Serviços de transporte aquaviário de navegação de cabotagem e de longo curso de cargas especiais e de grande porte ",4,true
"105021700","105021","Serviços de transporte aquaviário de navegação de cabotagem e de longo curso de veículos",4,true
"1050218","105021","Serviços de transporte aquaviário de navegação de cabotagem e de longo curso de produtos perigosos",4,false
"105021810","1050218","Serviços de transporte aquaviário de navegação de cabotagem e de longo curso de combustíveis, lubrificantes e glp, inclusive apresentado em botijões metálicos",5,true
"105021820","1050218","Serviços de transporte aquaviário de navegação de cabotagem e de longo curso de produtos químicos perigosos",5,true
"105021890","1050218","Serviços de transporte aquaviário de navegação de cabotagem e de longo curso de outros produtos perigosos",5,true
"105021900","105021","Serviços de transporte aquaviário de navegação de cabotagem e de longo curso de outros tipos de carga ",4,true
"105022","10502","Serviços de transporte aquaviário por navegação interior",3,false
"1050221","105022","Serviços de transporte aquaviário por navegação interior de cargas a granel",4,false
"105022110","1050221","Serviços de transporte aquaviário por navegação interior de cargas sólidas, a granel ",5,true
"105022120","1050221","Serviços de transporte aquaviário por navegação interior de cargas líquidas ou liquefeitas, a granel",5,true
"105022130","1050221","Serviços de transporte aquaviário por navegação interior de cargas gasosas a granel",5,true
"105022200","105022","Serviços de transporte aquaviário por navegação interior  de cargas vivas",4,true
"1050223","105022","Serviços de transporte aquaviário por navegação interior de carga geral",4,false
"105022310","1050223","Serviços de transporte aquaviário por navegação interior de carga solta, não unitizada",5,true
"105022320","1050223","Serviços de transporte aquaviário por navegação interior de carga unitizada, exceto em contêineres",5,true
"1050224","105022","Serviços de transporte aquaviário por navegação interior de cargas em contêineres",4,false
"105022410","1050224","Serviços de transporte aquaviário por navegação interior de cargas em contêineres frigorificados ou climatizados",5,true
"105022490","1050224","Serviços de transporte aquaviário por navegação interior de cargas em outros tipos de contêineres",5,true
"105022500","105022","Serviços de transporte aquaviário por navegação interior de mudanças domésticas e de mobília e outros objetos de escritório",4,true
"105022600","105022","Serviços de transporte aquaviário por navegação interior de cargas especiais e de grande porte ",4,true
"105022700","105022","Serviços de transporte aquaviário por navegação interior de veículos",4,true
"1050228","105022","Serviços de transporte aquaviário por navegação interior de produtos perigosos",4,false
"105022810","1050228","Serviços de transporte aquaviário por navegação interior de combustíveis, lubrificantes e glp, inclusive apresentado em botijões metálicos",5,true
"105022820","1050228","Serviços de transporte aquaviário por navegação interior de produtos químicos perigosos",5,true
"105022890","1050228","Serviços de transporte aquaviário por navegação interior de outros produtos perigosos",5,true
"105022900","105022","Serviços de transporte aquaviário por navegação interior de outros tipos de carga",4,true
"105023","10502","Serviços de navegação de apoio ao transporte aquaviário de carga",3,false
"105023100","105023","Serviços de navegação de apoio portuário",4,true
"105023200","105023","Serviços de navegação de apoio marítimo",4,true
"10503","105","Serviços de transportes aéreo de cargas",2,false
"105031000","10503","Serviços de transporte aéreo de cargas postais, remessas expressas e cargas congêneres",3,true
"1050320","10503","Serviços de transporte aéreo de cargas em contêineres",3,false
"105032010","1050320","Serviços de transporte aéreo de cargas em contêineres frigorificados ou climatizados",4,true
"105032090","1050320","Serviços de transporte aéreo de cargas em outros tipos de contêineres",4,true
"1050330","10503","Serviços de transporte aéreo de cargas especiais",3,false
"105033010","1050330","Serviços de transporte aéreo de produtos perigosos",4,true
"105033020","1050330","Serviços de transporte aéreo de animais vivos",4,true
"105033030","1050330","Serviços de transporte aéreo de máquinas e veículos",4,true
"105033040","1050330","Serviços de transporte aéreo de perecíveis",4,true
"105033050","1050330","Serviços de transporte aéreo de cargas frágeis",4,true
"105033060","1050330","Serviços de transporte aéreo de cargas controladas",4,true
"105033070","1050330","Serviços de transporte aéreo de valores",4,true
"105033090","1050330","Serviços de transporte aéreo de outras cargas especiais",4,true
"105039000","10503","Serviços de transporte aéreo de outros tipos de cargas",3,true
"10504","105","Serviços de transporte multimodal, exceto os serviços de apoio",2,false
"1050410","10504","Serviços de transporte multimodal de cargas a granel",3,false
"105041010","1050410","Serviços de transporte multimodal de cargas sólidas, a granel ",4,true
"105041020","1050410","Serviços de transporte multimodal de cargas líquidas ou liquefeitas, a granel",4,true
"105041030","1050410","Serviços de transporte multimodal de cargas gasosas a granel",4,true
"105042000","10504","Serviços de transporte multimodal de cargas vivas",3,true
"1050430","10504","Serviços de transporte multimodal de carga geral",3,false
"105043010","1050430","Serviços de transporte multimodal de cargas soltas, não unitizadas",4,true
"105043020","1050430","Serviços de transporte multimodal de cargas unitizadas, exceto em contêineres",4,true
"1050440","10504","Serviços de transporte multimodal de cargas em contêineres",3,false
"105044010","1050440","Serviços de transporte multimodal de cargas em contêineres frigorificados ou climatizados",4,true
"105044090","1050440","Serviços de transporte multimodal de cargas em outros tipos de contêineres",4,true
"105045000","10504","Serviços de transporte multimodal de mudanças domésticas e de mobília e outros objetos de escritório",3,true
"105046000","10504","Serviços de transporte multimodal de cargas especiais e de grande porte ",3,true
"105047000","10504","Serviços de transporte multimodal de veículos",3,true
"1050480","10504","Serviços de transporte multimodal de produtos perigosos",3,false
"105048010","1050480","Serviços de transporte multimodal de combustíveis, lubrificantes e glp, inclusive apresentado em botijões metálicos",4,true
"105048020","1050480","Serviços de transporte multimodal de produtos químicos perigosos",4,true
"105048090","1050480","Serviços de transporte multimodal de outros produtos perigosos",4,true
"105049000","10504","Serviços de transporte multimodal de outros tipos de carga ",3,true
"10505","105","Serviços de transporte intermodal, exceto os serviços de apoio",2,false
"1050510","10505","Serviços de transporte intermodal de cargas a granel",3,false
"105051010","1050510","Serviços de transporte intermodal de cargas sólidas, a granel ",4,true
"105051020","1050510","Serviços de transporte intermodal de cargas líquidas ou liquefeitas, a granel",4,true
"105051030","1050510","Serviços de transporte intermodal de cargas gasosas a granel",4,true
"105052000","10505","Serviços de transporte intermodal de cargas vivas",3,true
"1050530","10505","Serviços de transporte intermodal de carga geral",3,false
"105053010","1050530","Serviços de transporte intermodal de cargas soltas, não unitizadas. ",4,true
"105053020","1050530","Serviços de transporte intermodal de cargas unitizadas, exceto em contêineres",4,true
"1050540","10505","Serviços de transporte intermodal de cargas em contêineres",3,false
"105054010","1050540","Serviços de transporte intermodal de cargas em contêineres frigorificados ou climatizados",4,true
"105054090","1050540","Serviços de transporte intermodal de cargas em outros tipos de contêineres",4,true
"105055000","10505","Serviços de transporte intermodal de mudanças domésticas e de mobília e outros objetos de escritório",3,true
"105056000","10505","Serviços de transporte intermodal de cargas especiais e de grande porte ",3,true
"105057000","10505","Serviços de transporte intermodal de veículos",3,true
"1050580","10505","Serviços de transporte intermodal de produtos perigosos",3,false
"105058010","1050580","Serviços de transporte intermodal de combustíveis, lubrificantes e glp, inclusive apresentado em botijões metálicos",4,true
"105058020","1050580","Serviços de transporte intermodal de produtos químicos perigosos",4,true
"105058090","1050580","Serviços de transporte intermodal de outros produtos perigosos",4,true
"105059000","10505","Serviços de transporte intermodal de outros tipos de carga ",3,true
"10601","106","Serviços de manuseio de cargas",2,false
"106011000","10601","Serviços de manuseio de contêineres",3,true
"106019000","10601","Outros serviços de manuseio de cargas e bagagens",3,true
"10602","106","Serviços de armazenagem em depósitos ",2,false
"106021000","10602","Serviços de armazenagem frigorífica",3,true
"1060220","10602","Serviços de armazenagem de produtos perigosos",3,false
"106022010","1060220","Serviços de armazenagem de petróleo e seus derivados",4,true
"106022020","1060220","Serviços de armazenagem de combustíveis, lubrificantes e glp, inclusive apresentado em botijões metálicos",4,true
"106022030","1060220","Serviços de armazenagem de produtos químicos perigosos",4,true
"106022090","1060220","Serviços de armazenagem de outros produtos perigosos",4,true
"1060230","10602","Serviços de armazenagem de granéis sólidos, líquidos ou liquefeitos e gasosos",3,false
"106023010","1060230","Serviços de armazenagem de granéis sólidos",4,true
"106023020","1060230","Serviços de armazenagem de granéis líquidos ou liquefeitos",4,true
"106023030","1060230","Serviços de armazenagem de granéis gasosos",4,true
"106029000","10602","Outros serviços de armazenagem em depósitos",3,true
"106030000","106","Serviços de apoio para transportes ferroviários",2,true
"10604","106","Serviços de apoio para transportes rodoviários",2,false
"106041000","10604","Serviços de estações rodoviárias",3,true
"1060420","10604","Serviços de operação de autoestradas, pontes e túneis",3,false
"106042010","1060420","Serviços de operação de autoestradas",4,true
"106042020","1060420","Serviços de operação de pontes e túneis",4,true
"106042030","1060420","Serviços de exploração de pedágios",4,true
"106043000","10604","Serviços de estacionamentos ",3,true
"106044000","10604","Serviços de reboque para veículos particulares e comerciais",3,true
"106049000","10604","Outros serviços de apoio ao transporte rodoviário",3,true
"10605","106","Serviços de apoio para transportes aquaviários",2,false
"106051000","10605","Serviços de operação de portos e canais, exceto manuseio de cargas",3,true
"106052000","10605","Serviços de praticagem e de docas ",3,true
"106053000","10605","Serviços de salvamento de embarcações ",3,true
