Código;Descrição
105011200;Serviços de transporte rodoviário de cargas vivas
1050113;Serviços de transporte rodoviário de carga geral
105011310;Serviços de transporte rodoviário de carga solta, não unitizada. 
105011320;Serviços de transporte rodoviário de carga unitizada, exceto em contêineres
1050114;Serviços de transporte rodoviários de cargas em contêineres
105011410;Serviços de transporte rodoviário de cargas em contêineres frigorificados ou climatizados
105011490;Serviços de transporte rodoviário de cargas em outros tipos de contêineres
105011500;Serviços de transporte rodoviário de mudanças domésticas e de mobília e outros objetos de escritório 
105011600;Serviços de transporte rodoviário de cargas especiais e de grande porte 
105011700;Serviços de transporte rodoviário de veículos
1050118;Serviços de transporte rodoviário de produtos perigosos
105011810;Serviços de transporte rodoviário de combustíveis, lubrificantes e GLP, inclusive apresentado em botijões metálicos
105011820;Serviços de transporte rodoviário de produtos químicos perigosos
105011890;Serviços de transporte rodoviário de outros produtos perigosos
105011900;Serviços de transporte rodoviário de outros tipos de carga 
105012;Serviços de transporte ferroviário de cargas 
1050121;Serviços de transporte ferroviário de cargas a granel 
105012110;Serviços de transporte ferroviário de cargas sólidas a granel 
105012120;Serviços de transporte ferroviário de cargas líquidas ou liquefeitas, a granel
105012130;Serviços de transporte ferroviário de cargas gasosas a granel
105012200;Serviços de transporte ferroviário de cargas vivas
1050123;Serviços de transporte ferroviário de carga geral
105012310;Serviços de transporte ferroviário de carga solta, não unitizada  
105012320;Serviços de transporte ferroviário de carga unitizada, exceto em contêineres 
105012330;Serviços de transporte ferroviário de bens e valores
1050124;Serviços de transporte ferroviário de cargas em contêineres
105012410;Serviços de transporte ferroviário de cargas em contêineres frigorificados ou climatizados
105012490;Serviços de transporte ferroviário de cargas em outros tipos de contêineres
1050125;Serviços de transporte ferroviário de produtos perigosos
105012510;Serviços de transporte ferroviário de combustíveis, lubrificantes e GLP, inclusive apresentado em botijões metálicos
105012520;Serviços de transporte ferroviário de produtos químicos perigosos 
105012530;Serviços de transporte ferroviário de armamentos militares e munições 
105012540;Serviços de transporte ferroviário de fundidos em estado líquido
105012550;Serviços de transporte ferroviário de material radioativo
105012590;Serviços de transporte ferroviário de outros produtos perigosos
105012900;Serviços de transporte ferroviário de outros tipos de carga 
105013;Serviços de transporte por meio de dutos
105013100;Serviços de transporte de petróleo, gás natural e combustível
105013200;Serviços de transporte de minérios
105013900;Serviços de transporte de outras mercadorias
10502;Serviços de transporte aquaviário de cargas
105021;Serviços de transportes aquaviário de navegação de cabotagem e de longo curso
1050211;Serviços de transporte aquaviário de navegação de cabotagem e de longo curso de cargas a granel
105021110;Serviços de transporte aquaviário de navegação de cabotagem e de longo curso de cargas sólidas, a granel 
105021120;Serviços de transporte aquaviário de navegação de cabotagem e de longo curso de cargas líquidas ou liquefeitas, a granel
105021130;Serviços de transporte aquaviário de navegação de cabotagem e de longo curso de cargas gasosas a granel
105021200;Serviços de transporte aquaviário de navegação de cabotagem e de longo curso  de cargas vivas
1050213;Serviços de transporte aquaviário de navegação de cabotagem e de longo curso de carga geral
105021310;Serviços de transporte aquaviário de navegação de cabotagem e de longo curso de carga solta, não unitizada
