Código;Descrição
109059300;Serviços de classificação de risco (rating)
109059400;Serviços fiduciários 
109059900;Outros serviços auxiliares aos serviços financeiros não classificados em outra posição 
10906;Serviços auxiliares a seguros e previdência complementar
109061;Serviços de agenciamento e corretagem de seguros e previdência complementar
109061100;Serviços de agenciamento e corretagem de seguros e previdência complementar, exceto de seguros saúde
109061200;Serviços de corretagem de seguros saúde 
109062000;Serviços de perícia e avaliação de seguros 
109063000;Serviços atuariais 
109064000;Serviços de gestão de fundos de previdência complementar
109069000;Outros serviços auxiliares a seguros e previdência complementar
109070000;Securitização de recebíveis
109080000;Fomento comercial (factoring)
110;Serviços imobiliários
11001;Serviços imobiliários sob comissão ou contrato 
110011;Serviços de administração e locação de imóveis 
110011100;Serviços de administração e locação de imóveis residenciais 
1100112;Serviços de administração e locação de imóveis não residenciais 
110011210;Serviços de administração de locação, sublocação, arrendamento, direito de passagem ou permissão de uso, compartilhado ou não, de ferrovia, rodovia, postes, cabos, dutos e condutos de qualquer natureza
110011290;Outros serviços de administração e locação de imóveis não residenciais
110012;Compra e venda de imóveis 
110012100;Compra e venda de imóveis residenciais
110012200;Compra e venda de imóveis não-residenciais
110013000;Serviços de avaliação de imóveis 
110014000;Serviços de consultoria imobiliária
110015000;Serviços de assessoria de gestão condominial (condomínios, edifícios residenciais e mistos)
110900000;Outros serviços imobiliários
111;Arrendamento mercantil operacional, propriedade intelectual, franquias empresariais e exploração de outros direitos 
11101;Arrendamento mercantil operacional ou locação de máquinas e equipamentos, sem operador 
111011;Arrendamento mercantil operacional ou locação de equipamentos de transporte, sem operador
111011100;Arrendamento mercantil operacional ou locação de veículos rodoviários automotores para o transporte de até oito passageiros, sem operador 
111011200;Arrendamento mercantil operacional ou locação de veículos rodoviários automotores para o transporte de mercadorias, sem operador 
111011300;Arrendamento mercantil operacional ou locação de veículos e equipamentos ferroviários, sem operador 
111011400;Arrendamento mercantil operacional ou locação de outros equipamentos de transporte terrestre, inclusive de veículos de uso misto, sem operador 
111011500;Arrendamento mercantil operacional ou locação de navios e outras embarcações, sem tripulação 
111011600;Arrendamento mercantil operacional ou locação de aeronaves, sem tripulação 
111011700;Arrendamento mercantil operacional ou locação de contêineres 
111012;Arrendamento mercantil operacional ou locação de outras máquinas e equipamentos, sem operador 
111012100;Arrendamento mercantil operacional ou locação de máquinas e equipamentos agrícolas, sem operador 
111012200;Arrendamento mercantil operacional ou locação de máquinas e equipamentos de construção, sem operador 
111012300;Arrendamento mercantil operacional ou locação de máquinas e equipamentos para escritórios, exceto computadores, sem operador 
111012400;Arrendamento mercantil operacional ou locação de computadores, sem operador
111012500;Arrendamento mercantil operacional ou locação de equipamentos de telecomunicação, sem operador 
111012900;Arrendamento mercantil operacional ou locação de máquinas e equipamentos, não classificados em outra posição, sem operador 
11102;Arrendamento mercantil operacional ou locação de outras mercadorias 
111021000;Arrendamento mercantil operacional ou locação de televisão e outros eletroeletrônicos domésticos, bem como seus acessórios 
111022000;Arrendamento mercantil operacional ou locação de mídias gravadas 
111023000;Arrendamento mercantil operacional ou locação de móveis e eletrodomésticos
111024000;Arrendamento mercantil operacional ou locação de equipamentos para diversão e lazer 
111025000;Arrendamento mercantil operacional ou locação de artigos de cama, mesa e banho
111026000;Arrendamento mercantil operacional ou locação de roupas e calçados 
111029000;Arrendamento mercantil operacional ou locação de outras mercadorias não classificadas em outra posição
11103;Licenciamento de direitos de autor e direitos conexos
111031000;Licenciamento de direitos de obras literárias
111032;Licenciamento de direitos sobre programas de computador  
111032100;Licenciamento de direitos de produção, distribuição ou comercialização de programas de computador
111032200;Licenciamento de direitos de uso de programas de computador
111032900;Licenciamento de outros direitos sobre programas de computador  
111033;Licenciamento de direitos de obras audiovisuais
111033100;Licenciamento de direitos de autor de obras cinematográficas
111033200;Licenciamento de direitos de autor de obras jornalísticas
111033300;Licenciamento de direitos de autor de obras publicitárias
111033400;Licenciamento de direitos conexos de artistas intérpretes ou executantes em obras audiovisuais
111033500;Licenciamento de direitos conexos de produtores de obras audiovisuais
1110339;Licenciamento de direitos de outras obras audiovisuais
11103391;Licenciamento de direitos de obras audiovisuais destinadas à televisão 
111033911;Licenciamento de direitos de obras audiovisuais sobre transmissões de eventos esportivos
111033912;Licenciamento de direitos de obras audiovisuais sobre transmissões de programas televisivos
111033919;Licenciamento de direitos de obras audiovisuais sobre outras transmissões televisivas
111033990;Licenciamento de direitos de outras obras audiovisuais, não classificados nos itens anteriores
111034;Licenciamento de direitos de obras musicais e outros fonogramas
111034100;Licenciamento de direitos de autor de obras musicais ou literomusicais
111034200;Licenciamento de direitos conexos de artistas intérpretes ou executantes
111034300;Licenciamento de direitos conexos de produtores de fonogramas
111035000;Licenciamento de direitos relacionados à radiodifusão
111039;Licenciamento de outros direitos de autor e outros direitos conexos 
111039100;Licenciamento de outros direitos de autor 
111039200;Licenciamento de outros direitos conexos 
11104;Cessão temporária de direitos de autor e direitos conexos
111041000;Cessão temporária de direitos de obras literárias
111042000;Cessão temporária de direitos sobre programas de computador  
111043;Cessão temporária de direitos sobre obras audiovisuais
111043100;Cessão temporária de direitos de autor de obras cinematográficas
111043200;Cessão temporária de direitos de autor de obras jornalísticas
111043300;Cessão temporária de direitos de autor de obras publicitárias
111043400;Cessão temporária de direitos conexos de artistas intérpretes ou executantes em obras audiovisuais
111043500;Cessão temporária de direitos conexos de produtores de obras audiovisuais
1110439;Cessão temporária de direitos de outras obras audiovisuais 
11104391;Cessão temporária de direitos de obras audiovisuais destinadas à televisão
111043911;Cessão temporária de direitos de obras audiovisuais sobre transmissões de eventos esportivos
111043912;Cessão temporária de direitos de obras audiovisuais sobre transmissões de programas televisivos
111043919;Cessão temporária de direitos de obras audiovisuais sobre outras transmissões televisivas
111043990;Cessão temporária de direitos de outras obras audiovisuais, não classificados em outro item
111044;Cessão temporária de direitos de obras musicais e de outros fonogramas
111044100;Cessão temporária de direitos de autor de obras musicais e literomusicais
111044200;Cessão temporária de direitos conexos de artistas intérpretes ou executantes
111044300;Cessão temporária de direitos conexos de produtores de fonogramas
111045000;Cessão temporária de direitos relacionados à radiodifusão
111049;Cessão temporária de outros direitos de autor e outros direitos conexos
111049100;Cessão temporária de outros direitos de autor 
111049200;Cessão temporária de outros direitos conexos
11105;Licenciamento de direitos sobre a propriedade industrial
111051000;Licenciamento de direitos sobre patentes
111052000;Licenciamento de direitos sobre marcas 
111053000;Licenciamento de direitos sobre desenho industrial
111059000;Licenciamento de outros direitos sobre a propriedade industrial
111060000;Licenciamento de direitos sobre cultivares
111070000;Licenciamento de direitos sobre topografias de circuitos integrados
111080000;Licenciamento de direitos relativos à informação não divulgada
111090000;Licenciamento de outros direitos de propriedade intelectual não classificados em nenhuma das posições anteriores 
11110;Contratos de transferência de tecnologia 
111101000;Contratos de prestação de serviços de assistência técnica e científica, combinadamente ou não, com qualquer modalidade de transferência de tecnologia
111102000;Contratos de fornecimento de tecnologia (know-how)
111103000;Contratos de franquia
111109000;Outros contratos de transferência de tecnologia
11111;Licenciamento de direitos de exploração de recursos naturais
111111000;Licenciamento de direitos de exploração de recursos vegetais, inclusive florestais
111112000;Licenciamento de direitos de exploração de recursos minerais
111119000;Licenciamento de direitos de exploração de outros recursos naturais
11112;Licenciamento de direitos sobre conhecimento tradicional
111121000;Licenciamento de direitos sobre conhecimento tradicional associado a recursos genéticos
111129000;Licenciamento de direitos sobre outros conhecimentos tradicionais
111130000;Licenciamento de direitos relativos ao acesso a recursos genéticos, exceto os decorrentes do conhecimento tradicional
111900000;Outras formas de licenciamento e de cessões para exploração de direitos, não classificadas nas posições anteriores
112;Serviços de pesquisa e desenvolvimento
11201;Serviços de pesquisa e desenvolvimento em ciências naturais, exatas e engenharia 
112011;Serviços de pesquisa e desenvolvimento em ciências naturais e exatas
112011100;Serviços de pesquisa e desenvolvimento em física
112011200;Serviços de pesquisa e desenvolvimento em química e biologia 
112011900;Serviços de pesquisa e desenvolvimento em outras ciências naturais e exatas
112012;Serviços de pesquisa e desenvolvimento em engenharia e tecnologia
112012100;Serviços de pesquisa e desenvolvimento em biotecnologia
112012200;Serviços de pesquisa e desenvolvimento em tecnologia da informação e comunicação (TIC)
112012300;Serviços de pesquisa e desenvolvimento em nanotecnologia 
112012400;Serviços de pesquisa e desenvolvimento em engenharia e tecnologia nucleares
112012500;Serviços de pesquisa e desenvolvimento em engenharia e tecnologia em microondas de potência
112012900;Serviços de pesquisa e desenvolvimento em outros ramos da  engenharia e tecnologia
112013000;Serviços de pesquisa e desenvolvimento em  ciências médica, odontológica e farmacêutica
112014000;Serviços de pesquisa e desenvolvimento em ciências agrárias 
112019;Outros serviços de pesquisa e desenvolvimento em ciências naturais e engenharia
112019100;Pesquisa tecnológica utilizando documentos de patentes
112019900;Outros serviços de pesquisa e desenvolvimento em ciências naturais e engenharia
11202;Serviços de pesquisa e desenvolvimento em ciências sociais e humanidades
112021;Serviços de pesquisa e desenvolvimento em ciências sociais 
112021100;Serviços de pesquisa e desenvolvimento em psicologia 
112021200;Serviços de pesquisa e desenvolvimento em ciências econômicas 
112021300;Serviços de pesquisa e desenvolvimento em direito
112021900;Serviços de pesquisa e desenvolvimento em outras ciências sociais 
112022000;Serviços de pesquisa e desenvolvimento em humanidades 
112030000;Serviços de pesquisa e desenvolvimento interdisciplinar 
113;Serviços jurídicos e contábeis
11301;Serviços jurídicos 
113011000;Serviços de representação e consultoria jurídica criminal
113012000;Serviços de representação e consultoria jurídica em outras áreas do direito 
113013000;Serviços de documentação e certificação, exceto os serviços notariais e de registro
113014;Outros serviços jurídicos
113014100;Serviços de arbitragem, conciliação e mediação 
113014900;Outros serviços jurídicos não classificados em outra posição 
11302;Serviços de auditoria, contabilidade e escrituração mercantil 
113021;Serviços de auditoria 
113021100;Serviços de auditoria contábil 
113021900;Outros serviços de auditoria 
113022;Serviços de contabilidade e escrituração mercantil
113022100;Serviços de contabilidade 
113022200;Serviços de escrituração mercantil 
113022300;Serviços de folha de pagamento
113022900;Outros serviços de contabilidade e escrituração mercantil
11303;Serviços de consultoria tributária 
113031000;Serviços de consultoria tributária para pessoas jurídicas 
113032000;Serviços de consultoria tributária para pessoas físicas
113040000;Serviços notariais e de registro
114;Outros serviços profissionais
11401;Serviços gerenciais, de consultoria gerencial, de relações públicas e de comunicação social
114011;Serviços gerenciais e de consultoria gerencial 
114011100;Serviços de consultoria gerencial estratégica
114011200;Serviços de consultoria gerencial financeira 
114011300;Serviços de consultoria gerencial em recursos humanos
114011400;Serviços de consultoria gerencial em marketing 
114011500;Serviços de consultoria gerencial operacional
114011600;Serviços de consultoria gerencial em energia
114011700;Serviços de consultoria em logística
114011800;Serviços gerenciais em processos de negócios 
114011900;Outros serviços gerenciais e de consultoria gerencial
114012000;Serviços de relações públicas 
114013;Serviços de comunicação social
114013100;Serviços de assessoria de imprensa
114013900;Outros serviços de comunicação social
11402;Serviços de arquitetura, de planejamento urbano e de áreas rurais e de paisagismo
114021;Serviços de arquitetura
114021100;Serviços de consultoria em arquitetura 
114021200;Serviços arquitetônicos para projetos de construções residenciais 
114021300;Serviços arquitetônicos para projetos de construções não residenciais  
114021400;Serviços arquitetônicos para restauração de prédios históricos
114021500;Serviços de arquitetura relativos ao acompanhamento e fiscalização da execução de projetos arquitetônicos e urbanísticos
114022;Serviços de planejamento urbano e de áreas rurais 
114022100;Serviços de planejamento urbano 
114022200;Serviços de planejamento de áreas rurais 
114023;Serviços de paisagismo
114023100;Serviços de consultoria de paisagismo
114023200;Serviços arquitetônicos de paisagismo 
114029000;Outros serviços de arquitetura, de planejamento urbano e de áreas rurais e de paisagismo
11403;Serviços de engenharia 
114031000;Serviços de consultoria de engenharia 
114032;Serviços de engenharia para projetos específicos 
1140321;Serviços de engenharia de projetos de construção 
114032110;Serviços de engenharia de projetos de construção residencial
114032120;Serviços de engenharia de projetos de construção não residencial
114032200;Serviços de engenharia de projetos industriais e de fabricação, exceto para projetos de energia
114032300;Serviços de engenharia para projetos de transportes
1140324;Serviços de engenharia para projetos de energia 
114032410;Serviços de engenharia para projetos de exploração de petróleo e gás
114032420;Serviços de engenharia para projetos de refino de petróleo e petroquímica
114032430;Serviços de engenharia para projetos de unidades de produção de biocombustíveis
114032440;Serviços de engenharia para projetos de energia elétrica
114032490;Outros serviços de engenharia para projetos de energia 
114032500;Serviços de engenharia de projetos de radiodifusão e televisão
114032600;Serviços de engenharia de projetos de gerenciamento de resíduos (perigosos e não perigosos) 
114032700;Serviços de engenharia de projetos de distribuição de água e redes de esgotos
114032800;Serviços de engenharia de projetos de telecomunicação
1140329;Outros serviços de engenharia de projetos 
114032910;Serviços de engenharia de projetos aeroespaciais 
114032920;Serviços de engenharia para projetos de embarcações
114032990;Outros serviços de engenharia de projetos 
114033000;Serviços de gerenciamento de projetos de construção 
114039000;Outros serviços de engenharia
11404;Serviços científicos e outros serviços técnicos
114041;Serviços geológicos, geofísicos e outros de prospecção
114041100;Serviços de consultoria geológica e geofísica
114041200;Serviços geofísicos
114041300;Serviços geoquímicos
114041400;Serviços de informações para avaliação e exploração de recursos naturais
114041900;Outros serviços de prospecção
114042;Serviços topográficos e cartográficos 
114042100;Serviços topográficos 
114042200;Serviços cartográficos 
114043000;Serviços meteorológicos e de previsão do tempo
114044;Serviços de análise e exames técnicos
114044100;Serviços de análise e de exames técnicos sobre pureza e composição 
114044200;Serviços de análise e de exames técnicos de propriedades físicas 
114044300;Serviços de análise e de exames técnicos de sistemas elétricos e mecânicos 
114044400;Serviços de inspeção técnica de veículos de transporte rodoviários 
114044900;Outros serviços de análise e de exames técnicos 
11405;Serviços veterinários 
1140510;Serviços veterinários para animais domésticos 
114051010;Serviços hospitalares, com ou sem internação
114051090;Outros serviços veterinários para animais domésticos 
1140520;Serviços veterinários para animais de corte
114052010;Serviços hospitalares, com ou sem internação
114052090;Outros serviços veterinários para animais de corte 
114053000;Serviços funerários, de cremação e de embalsamamento de animais
114059;Outros serviços veterinários
114059100;Serviços de bancos de órgãos, sangue, sêmen, tecidos, óvulos e outros materiais biológicos 
114059200;Serviços de unidades de atendimento, assistência ou tratamento móvel
114059300;Planos de atendimento e assistência médico-veterinária
114059400;Serviços de guarda, tratamento, adestramento, embelezamento e alojamento (hotel veterinário)
114059900;Outros serviços veterinários
11406;Serviços de propaganda e de alocação de espaço ou tempo para propaganda
114061;Serviços de propaganda
114061100;Serviços de campanhas publicitárias 
114061200;Serviços de marketing direto e mala direta
114061900;Outros serviços de propaganda
114062000;Aquisição ou venda de espaço ou tempo para propaganda, sob comissão 
114063;Venda de espaço ou tempo para propaganda, exceto sob comissão 
114063100;Venda de espaço para propaganda em mídia impressa, exceto sob comissão 
114063200;Venda de tempo para propaganda em rádio e televisão, exceto sob comissão 
114063300;Venda de espaço para propaganda na rede mundial de computadores, exceto sob comissão 
114063900;Venda de espaço ou tempo para propaganda em outros meios de comunicação publicitária, exceto sob comissão
114070000;Pesquisas de mercado e serviços de pesquisa de opinião pública
11408;Serviços fotográficos, videográficos e de processamento de fotografias
114081;Serviços fotográficos e videográficos 
114081100;Serviços fotográficos de retratos 
114081200;Serviços fotográficos para propaganda 
114081300;Serviços fotográficos e videográficos de eventos
114081400;Serviços fotográficos especiais 
114081900;Outros serviços fotográficos e videográficos
114082000;Serviços de processamento de fotografias
11409;Outros serviços profissionais, técnicos e gerenciais não classificados em outra posição 
114091;Serviços especializados de projetos (design)
1140911;Serviços de projeto (design) de interiores 
114091110;Serviços de projetos (design) de espaços comerciais e públicos
114091190;Outros serviços de projeto (design) de interiores 
114091200;Serviços de desenho industrial 
1140913;Projetos (design) originais
114091310;Serviços de projetos (design) de marcas, imagens, objetos gráficos e digitais
114091320;Serviços de projetos (design) de embalagens, expositores de loja e objetos promocionais para comunicação e vendas
114091330;Serviços de projetos (design) de produtos, utensílios, equipamentos, vestuário, calçados, ornamentos, joias e objetos pessoais
114091340;Serviços de projetos (design) de máquinas, equipamentos, acessórios e objetos de uso industrial de qualquer natureza
114091390;Outros serviços projetos (design) originais
114091900;Outros serviços especializados de projeto (design)
114092;Serviços de consultoria técnica e científica não classificados em outra posição 
114092100;Serviços de consultoria ambiental 
114092900;Outros serviços de consultoria técnica e científica 
114093000;Serviços de compilação e coletânea de fatos e informações originais 
114094000;Serviços de tradução e de intérpretes 
114095000;Serviços para registros de marcas comerciais e de franquias empresariais, exceto as licenças de uso de direito 
114099000;Outros serviços profissionais, técnicos e gerenciais não classificados nas subposições anteriores 
115;Serviços de tecnologia da informação
11501;Serviços de consultoria, de segurança e de suporte em tecnologia da informação (TI)
115011000;Serviços de consultoria em tecnologia da informação (TI)
115012000;Serviços de segurança em tecnologia da informação (TI)
115013000;Serviços de suporte em tecnologia da informação (TI) 
11502;Serviços de projeto e desenvolvimento de aplicativos e programas em tecnologia da informação (TI) 
115021000;Serviços de projeto, desenvolvimento e instalação de aplicativos e programas não personalizados (não customizados)
115022000;Serviços de projeto e desenvolvimento, adaptação e instalação de aplicativos personalizados (customizados)
115023000;Serviços de projeto e desenvolvimento de estruturas e conteúdo de páginas eletrônicas 
115024000;Serviços de projeto e desenvolvimento de estruturas e conteúdo de bancos de dados 
115025000;Serviços de integração de sistemas em tecnologia da informação (TI) 
115029000;Outros serviços de projeto e desenvolvimento de aplicativos 
115030000;Serviços de projeto e desenvolvimento de redes em tecnologia da informação (TI)  
115040000;Serviços de projeto e desenvolvimento de topografias de circuitos integrados
115050000;Serviços de projeto de circuitos integrados
11506;Serviços de infraestrutura para hospedagem em tecnologia da informação (TI) 
115061000;Serviços de hospedagem de sítios na rede mundial de computadores 
115062000;Serviços de hospedagem de aplicativos e programas 
115069000;Outros serviços de infraestrutura para hospedagem em tecnologia da informação (TI)   
11507;Serviços de gerenciamento de infraestrutura de tecnologia da informação (TI) 
115071000;Serviços de gerenciamento de redes
115072000;Serviços de gerenciamento de sistemas computacionais 
115079000;Outros serviços de gerenciamento de infraestrutura de tecnologia da informação (TI)
115080000;Serviços de manutenção de aplicativos e programas
115090000;Serviços auxiliares de processamento de dados
115900000;Outros serviços de tecnologia da informação (TI)   
117;Serviços de telecomunicação, difusão e fornecimento de informações
11701;Telefonia e outros serviços de telecomunicações
117011;Serviços de telecomunicações fixos e serviços de valor adicionado 
1170111;Serviços de chamada de telecomunicações fixos comutados em banda estreita e banda larga  
117011110;Local
117011120;Nacional
117011130;Internacional
1170112;Serviços de acesso e uso de telecomunicações fixos comutados em banda estreita e banda larga 
117011210;Local
117011220;Nacional
117011230;Internacional
117011300;Serviços de valor adicionado sobre serviços de telecomunicações fixos
117011400;Serviços de gerência de redes fixas e administração de seus usuários 
117011500;Serviços de interconexão pelo uso da rede fixa 
117011900;Outros serviços de telecomunicações fixas 
117012;Serviços de telecomunicações móveis e serviços de valor adicionado 
1170121;Serviços de chamada de telecomunicações móveis comutados em banda estreita e banda larga 
117012110;Local
117012120;Nacional
117012130;Internacional
1170122;Serviços de acesso e uso de telecomunicações móveis comutado em banda estreita e banda larga 
117012210;Local
117012220;Nacional
117012230;Internacional
117012300;Serviços de valor adicionado sobre serviços de telecomunicações móveis
117012400;Serviços de gerência das redes móveis e administração de seus usuários 
117012500;Serviços de interconexão pelo uso de rede móvel 
1170126;Serviços de usuário visitante (roaming)
117012610;Serviços de usuário visitante nacional (roaming nacional)
117012620;Serviços de usuário visitante internacional (roaming internacional)
117012700;Serviços nomádicos 
117012900;Outros serviços de telecomunicações móveis 
1170130;Serviços de redes privadas, serviços de interesse restrito e serviços de valor adicionado 
117013010;Serviços fixos de redes privativas
117013020;Serviços móveis, nomádicos de uso privativo
11701303;Serviços de interesse restrito
117013031;Serviços de interesse restrito de abrangência local
117013032;Serviços de interesse restrito de abrangência nacional
117013033;Serviços de interesse restrito de abrangência internacional
117013040;Serviços de valor adicionado sobre serviços de redes privadas ou de serviços de interesse restrito
1170140;Serviços de transmissão de dados e serviços de exploração de linha dedicada 
117014010;Serviços de transmissão de dados local, nacional ou internacional 
117014020;Serviços de exploração de linha dedicada local, nacional ou internacional
1170150;Serviços de distribuição de programação de televisão por assinatura
117015010;Serviços de distribuição de pacotes básicos de programação de televisão por assinatura
117015020;Serviços de distribuição de grades de programação especiais de televisão por assinatura
117015030;Serviços de distribuição de programação através do sistema pague e assista (pay-per-view) de televisão por assinatura
117015090;Outros serviços de distribuição de programação de televisão por assinatura, inclusive os pacotes combinados
117019000;Outros serviços de telecomunicações 
11702;Serviços de telecomunicação pela rede mundial de computadores
117021000;Serviços de fornecimento de infraestrutura de acesso (backbone) à rede mundial de computadores  
117022;Serviços de acesso à rede mundial de computadores 
117022100;Serviços de acesso à rede mundial de computadores por conexão discada 
117022200;Serviços de acesso à rede mundial de computadores por banda larga 
117029000;Outros serviços na rede mundial de computadores
11703;Serviços de oferta de conteúdo de acesso imediato (on-line)
117031000;Serviços de oferta de livros, jornais, periódicos, diretórios e listas de postagem de acesso imediato (on-line)
117032000;Serviços de oferta de áudio, inclusive de conteúdo contínuo (streaming), de acesso imediato (on-line)
117033000;Serviços de oferta de filmes e vídeos, inclusive de conteúdo contínuo (streaming), de acesso imediato (on-line) 
117034000;Serviços de oferta de conteúdos que combinem duas ou mais mídias de acesso imediato (on-line)
117035000;Serviços de conteúdo de portais de busca na rede mundial de computadores
117039000;Outros serviços de conteúdos de acesso imediato (on-line) 
11704;Serviços de agências de notícias 
117041000;Serviços de agências de notícias para jornais e periódicos
117042000;Serviços de agências de notícias em mídia audiovisual 
117049000;Outros serviços de agências de notícias 
11705;Serviços de biblioteca e arquivo 
117051000;Serviços de biblioteca
117052000;Serviços de arquivo 
11706;Serviços de difusão, programação e distribuição de programas de rádio e televisão
117061;Serviços de difusão de programas originais de rádio e televisão
117061100;Serviços de difusão de programas originais de rádio 
1170612;Serviços de difusão de programas originais de televisão 
117061210;Serviços de difusão de programas originais para televisão aberta
117061220;Serviços de difusão de programas originais para televisão por assinatura 
117062;Serviços de programação dos canais de rádio e televisão
117062100;Serviços de programação dos canais de rádio 
117062200;Serviços de programação dos canais de televisão
117063000;Serviços de distribuição de sinais de rádio e televisão
117064000;Serviços de distribuição de programas de televisão aberta
117069000;Outros serviços de difusão, programação e distribuição de programas de rádio e televisão
118;Serviços de apoio às atividades empresariais
11801;Serviços de recrutamento e seleção de pessoal
118011000;Serviços de busca de empregos e encaminhamento de pessoal 
118012;Serviços de fornecimento de mão de obra
118012100;Serviços de fornecimento de mão de obra efetiva 
118012200;Serviços de fornecimento de mão de obra temporária
118019000;Outros serviços de recrutamento e seleção de pessoal
11802;Serviços de investigação e segurança 
118021000;Serviços de investigação 
118022000;Serviços de consultoria em segurança 
118023000;Serviços de sistemas de segurança 
118024000;Serviços de transporte de valores
118025000;Serviços de guarda e escolta armada
118029000;Outros serviços de segurança 
11803;Serviços de limpeza 
118031000;Serviços de desinfecção e extermínio de pragas
118032000;Serviços gerais de limpeza
118033000;Serviços especializados de limpeza 
11804;Serviços de planejamento de viagens e de operador de turismo, outros serviços relacionados 
118041;Serviços de reservas em transportes 
118041100;Serviços de reservas em transportes aéreos 
118041900;Outros serviços de planejamento e reserva em transportes
118042;Serviços de reservas de hospedagem, reservas em cruzeiros e reservas de pacotes turísticos 
118042100;Serviços de reservas de hospedagem
118042200;Serviços de reservas em cruzeiros
118042300;Serviços de reservas de pacotes turísticos
118043000;Outros serviços de reservas
118044000;Serviços de operadoras de turismo
118045000;Serviços de guias turísticos
118046;Serviços de informação a visitantes e promoção turística 
118046100;Serviços de promoção turística
118046200;Serviços de informação a visitantes
11805;Outros serviços de apoio
118051000;Serviços de informação cadastral para fins de crédito
118052000;Serviços de cobrança
118053;Serviços de apoio por meio de telefone
118053100;Serviços de telemarketing, incluindo serviços de atendimento ao cliente
118053900;Outros serviços de apoio por meio de telefone
118054000;Serviços combinados de escritório e apoio administrativo
118055;Serviços especializados de apoio a escritório
118055100;Serviços de fotocópia
118055200;Serviços de execução de mala direta e de elaboração de listas de endereços
118055300;Serviços de preparação de documentos e outros serviços especializados de apoio a escritórios
118056;Serviços de assistência e organização de convenções e de feiras de negócios
118056100;Serviços de assistência e organização de convenções
118056200;Serviços de assistência e organização de feiras de negócios
118056300;Serviços de exploração de centros de convenções, escritórios virtuais, estandes de qualquer natureza, auditórios e os demais assemelhados para realização de eventos ou negócios de qualquer natureza
118056900;Outros serviços de assistência e organização de feiras de negócios e convenções 
118057000;Serviços de jardinagem
1180590;Outros serviços de apoio não classificados em outra posição
11805901;Serviços de leitura de medidores
118059011;Serviços de leitura de medidores de eletricidade
118059012;Serviços de leitura de medidores de gás
118059013;Serviços de leitura de medidores de água
118059020;Serviços de agências de modelos
118059030;Serviços de distribuição e venda de bilhetes e demais produtos de loteria, cartões, pules ou cupons de apostas, sorteios, prêmios, inclusive os decorrentes de títulos de capitalização e congêneres.
118059090;Outros serviços de apoio
119;Serviços de apoio às atividades agropecuárias, silvicultura, pesca, aquicultura, extração mineral, eletricidade, gás e água
11901;Serviços de apoio à agricultura, pecuária, produção florestal (silvicultura), pesca e aquicultura
119011000;Serviços de apoio à agricultura
119012000;Serviços de apoio à pecuária
119013000;Serviços de apoio à produção florestal (silvicultura)
119014000;Serviços de apoio à pesca 
119015000;Serviços de apoio à aquicultura
11902;Serviços de apoio à mineração 
119021000;Serviços de apoio à extração de petróleo e gás 
119029000;Outros serviços de apoio à mineração 
11903;Serviços de apoio à transmissão e distribuição de eletricidade, gás e água 
119031;Serviços de apoio à transmissão e distribuição de eletricidade 
119031100;Serviços de apoio à transmissão de eletricidade 
119031200;Serviços de apoio à distribuição de eletricidade 
119032000;Serviços de apoio à distribuição de gás por meio de tubulações
119033000;Serviços de apoio à distribuição de água 
119034000;Serviços de apoio à distribuição de ar condicionado, água quente e vapor por meio de tubulações
120;Serviços de manutenção, reparação e instalação (exceto construção)
12001;Serviços de manutenção e reparação de produtos metálicos, maquinário e equipamentos 
120011000;Serviços de manutenção e reparação de produtos metálicos
120012000;Serviços de manutenção e reparação de computadores e seus periféricos e maquinário de escritório 
120013;Serviços de manutenção e reparação de maquinário e equipamentos de transporte 
120013100;Serviços de manutenção e reparação de veículos automotores rodoviários 
120013200;Serviços de manutenção e reparação de reboques (trailers), semirreboques (semi-trailers) e outros veículos não motorizados
120013300;Serviços de manutenção e reparação de veículos militares 
1200139;Serviços de manutenção e reparação de outros equipamentos de transporte 
12001391;Serviços de manutenção e reparação de aeronaves, inclusive foguetes e equipamentos aeroespaciais
120013911;Serviços de manutenção e reparação de motores, turborreatores e turbopropulsores aeronáuticos
120013912;Serviços de manutenção e reparação de foguetes e equipamentos aeroespaciais 
120013919;Outros serviços de manutenção e reparação de aeronaves
12001392;Serviços de manutenção e reparação de embarcações
120013921;Serviços de manutenção e reparação de embarcações militares
120013929;Outros serviços de manutenção e reparação de embarcações
120013930;Serviços de manutenção e reparação de equipamentos ferroviários e metroviários
120013990;Outros serviços de manutenção e reparação de outros equipamentos de transporte 
120014000;Serviços de manutenção e reparação de plataformas, inclusive navios-plataforma, para extração de petróleo e gás
120015;Serviços de manutenção e reparação de outros maquinários e equipamentos 
120015100;Serviços de manutenção e reparação de aparelhos eletro-eletrônicos domésticos 
120015200;Serviços de manutenção e reparação de equipamentos e aparelhos de telecomunicações
120015300;Serviços de manutenção e reparação de instrumentos e equipamentos médico-hospitalares, odontológicos, óticos e de precisão
120015400;Serviços de manutenção e reparação de equipamentos militares
1200159;Outros serviços de manutenção e reparação de maquinário e equipamentos 
120015910;Serviços de manutenção e reparação de turbinas industriais
120015990;Outros serviços de manutenção e reparação de maquinário e equipamentos 
12002;Serviços de manutenção e reparação de outros bens de consumo
120021000;Serviços de manutenção e reparação de produtos de couro, calçados, malas e bolsas
120022000;Serviços de manutenção e reparação de relógios e jóias
120023000;Serviços de manutenção e reparação de móveis
